month,year,quarter,artist,genre,country,region,total_streams,premium_streams,free_streams,premium_revenue_usd,ad_revenue_usd,total_revenue_usd,saves,playlist_adds,skip_rate,popularity_score,artist_trend
2022-01,2022,Q1,Doja Cat,Pop,Netherlands,Europe,5323601,3620048,1703553,40.37,3312.44,3352.81,144672,205117,0.285,100,Stable
2022-01,2022,Q1,Lil Baby,Hip-Hop,Netherlands,Europe,4075876,2771595,1304281,23.87,3158.09,3181.96,108636,112386,0.134,85,Declining
2022-01,2022,Q1,21 Savage,Hip-Hop,Netherlands,Europe,1420239,965762,454477,10.83,681.07,691.9,63375,57124,0.142,73,Declining
2022-01,2022,Q1,Post Malone,Hip-Hop,Netherlands,Europe,937695,637632,300063,7.1,674.75,681.85,35386,13333,0.203,100,Declining
2022-01,2022,Q1,Ed Sheeran,Pop,Netherlands,Europe,7136744,4852985,2283759,49.05,5971.76,6020.81,526445,162147,0.11,100,Rising
2022-01,2022,Q1,The Weeknd,R&B/Pop,Netherlands,Europe,4612477,3136484,1475993,29.95,2375.7,2405.65,137817,144663,0.211,93,Rising
2022-01,2022,Q1,Arctic Monkeys,Rock,Netherlands,Europe,8133497,5530777,2602720,49.75,3741.48,3791.23,435029,212718,0.098,100,Rising
2022-01,2022,Q1,Billie Eilish,Pop,Netherlands,Europe,474846,322895,151951,3.22,243.39,246.61,17612,5449,0.245,100,Declining
2022-01,2022,Q1,Rauw Alejandro,Latin,United Kingdom,Europe,2311767,1502648,809119,14.31,1835.65,1849.96,140653,72213,0.201,85,Stable
2022-01,2022,Q1,Dua Lipa,Pop,United Kingdom,Europe,7017947,4561665,2456282,41.98,6033.69,6075.67,295223,247679,0.251,100,Rising
2022-01,2022,Q1,Doja Cat,Pop,United Kingdom,Europe,5157150,3352147,1805003,29.98,3639.6,3669.58,318447,228638,0.168,100,Stable
2022-01,2022,Q1,Billie Eilish,Pop,United Kingdom,Europe,725110,471321,253789,4.91,342.29,347.2,44562,18468,0.333,100,Declining
2022-01,2022,Q1,Nicki Minaj,Hip-Hop,United Kingdom,Europe,2164054,1406635,757419,12.83,1577.62,1590.45,133623,41424,0.127,100,Stable
2022-01,2022,Q1,Post Malone,Hip-Hop,United Kingdom,Europe,923533,600296,323237,5.53,383.43,388.96,68187,42497,0.251,100,Declining
